id,headline,photoPath,articleText,originalURL,createdAt,updatedAt
"""22""",Jailed for 41 Days on 'Heroin' Charge that was Actually Soap',soapheroin.jpg',"29-year-old Florida man spent 41 days in jail after being arrested with 92 grams of heroin in his car. He said it was laundry detergent. Now, the deputy who put him behind bars is out of a job. Martin County Deputy Steven O’Leary has been fired after being accused of faking drug tests for at least 11 people, all of who have now been released from jail, according to TC Palm. Among them was Matt Crull, who spent the holidays locked up after O’Leary found a plastic bag of a white powder, secured with a hair tie, in the driver’s side door of his van.'",https://www.sun-sentinel.com/news/florida/sfl-soap-heroin-arrest-clone-20190131-story.html',,
23,"Threw Sex Toy on Field at Bills-Patriots Monday Night Football Game, Cops Say ",billspatriots.jpg,"Florida man was arrested on allegations he tossed a sex toy onto the field during the Buffalo Bills vs. New England Patriots Monday Night Football game. “Erie County Sheriff Timothy B. Howard announced Deputies arrested the individual who threw a sex toy onto the field during the nationally televised game,” read a statement issued Tuesday by the Erie County Sheriff’s Office in Buffalo. Michael Abdallah, 34, of Oviedo, about 20 miles northeast of Orlando, was arrested by Erie County deputies and charged with disorderly conduct, according to WIVB-Ch. 4 in Buffalo. WKBW-Ch. 7 in Buffalo reported that sheriff’s deputies and Bills security “worked together to identify Abdallah through eyewitness accounts and surveillance video footage.”",https://www.sun-sentinel.com/news/florida/fl-ne-florida-man-sex-toy-bills-patriots-20181031-story.html,,
24,"Impersonates Nickelback Drummer, is Arrested on Fraud Charges",drummer.jpg,"Pretending to be Nickelback's drummer could be a tribute to the Canadian rock band – or it could be a ploy to illegally purchase $25,000 in music equipment. For Lee Howard Koenig, of Port St. Lucie, it was allegedly the latter, according to a report from TC Palm Koenig, 45, was arrested Tuesday for using Nickelback drummer Daniel Adair’s identity to fraudulently order drum parts from Austria. He was arrested on two felony fraud-related charges, the report says. A band security specialist first notified police about the $25,000 purchase in January. Investigators said they contacted Adair to verify the purchase and the Nickelback musician said he never placed an order. Detectives said Koenig identified himself as Adair via e-mail while ordering the equipment. After researching his IP address, investigators found a listed address linked to Port St. Lucie. A band security specialist first notified police about the $25,000 purchase in January. Investigators said they contacted Adair to verify the purchase and the Nickelback musician said he never placed an order. Detectives said Koenig identified himself as Adair via e-mail while ordering the equipment. After researching his IP address, investigators found a listed address linked to Port St. Lucie.",https://www.tcpalm.com/story/news/crime/st-lucie-county/2017/03/01/police-say-nickelback-drummer-victim-fraud-port-st-lucie-man/98582420/?!,,
25,Florida Man Accused of Attacking Girlfriend With Banana,smolinsky.jpg,"Phillip Joseph Smolinsky, 36, was arrested Wednesday on charges of domestic battery and resisting arrest without violence related to the fruit fight, according to the Pasco County Sheriff's Office. He was being held without bond Thursday, jail records showed. It was unknown whether he has an attorney.",https://www.nbcmiami.com/news/Florida-Man-Accused-of-Attacking-Girlfriend-With-Banana-238462981.html,,
26,Tries to Pawn Stolen Jewelry at Store Managed by Woman Whose Home He Just Robbed,jewelry.jpg,"Some criminals are just dumb. Others have incredibly bad luck. Thirty-three-year-old Nathaniel Coleman of Immokalee, Florida is the latter. He pulled off what seemed like a successful home robbery and made off with thousands of dollars worth of jewelry, but then made the cosmically doomed accident of trying to pawn off the stolen goods at a store managed by the woman who owned the home he had just robbed. Coleman walked into Marilyn's Boutique on the 200 block of West Main Street in Immokalee on Monday, according to The Naples Daily News. He started showing the store manager the goods he was looking to sell, but then the woman realized that they were suspiciously identical to items from her own jewelry collection. Unaware at the time that her home had been robbed earlier in the day the manager excused herself to the back and called her husband. She remained calm and kept Coleman in the store while her husband called police. The husband and police arrived at the store at the same time. Coleman was arrested, and police returned to the couple's home with the husband. The house had been ransacked, and a backdoor had been forced open, confirming that indeed, the items Coleman had tried to pawn were the manager's own. Coleman has now been charged with dealing in stolen items, defrauding a pawnbroker, and grand theft of items between $5,000 and $10,000.",https://www.miaminewtimes.com/news/florida-man-tries-to-pawn-stolen-jewelry-at-store-managed-by-woman-whose-home-he-just-robbed-6523630,,
27,Arrested For Calling 911 After His Cat Was Denied Entry Into Strip Club,cat.jpg,"A man walks into a strip club with a cat...Please, don't tell me you've heard this one! Everett Lages tried to enter a Murdock, Fla. strip joint last week with a kitten, but when they were both refused entry he repeatedly called 911. Deputies arrested Lages for misusing 911, and on other charges.Can we direct you to the Pussycat Lounge instead? According to CBS affiliate WTSP, deputies were called to the Emerald City Gentlemen's Club in Murdock on South Florida's gulf coast shortly after 9 p.m. last Tuesday after the owner told Lages, 47, to leave with the kitty. Instead, Lages sat down outside the business and called 911. When the deputies spoke with Lages, they noted that he appeared intoxicated. They told him he needed to leave the premises and assisted in calling a taxi for him. When the taxi arrived, Lages wouldn't cooperate with the driver. Instead, he began yelling and causing a disturbance, and insisted the club owner had committed a crime by denying entry to him and the cat. He kept on calling 911 on his cell phone...even though deputies were already on the scene. Lages was placed under arrest and had to be forcibly restrained, WTSP reported. He was booked into the Charlotte County jail on charges of misuse of the 911 system, disorderly intoxication, trespassing after warning and resisting arrest without violence. He was being held on $4,000 bond.The kitten is reportedly in the custody of animal control.",https://www.cbsnews.com/news/man-with-cat-denied-entry-by-fla-strip-club-arrested/,,
28,"Dials 911 and Demands Ride Home to ""Change His Underwear""",payphone.jpg,"Gary Linman of Hobe Sound, Florida really needed a ride home. He dialed 911 from a payphone (they sill have those?) to get that ride. 911 call transcript: 911: 911. What’s your emergency? Linman: This 911? 911: Yes. How may I help you? Linman: I got an emergencies. I need a ride home. 911: Have you been in an accident? Linman: No. 911: Sir, you need to tell me what’s going on. Linman: I need to change my underwear. 911: Sir. Prank calls are misusing the 911 system — Linman: Suck an Ostrich egg, bitch! Linman hung up, but he wasn’t finished. Linman saw a deputy’s vehicle and approached the deputy sitting inside. Linman demanded a ride home, saying he dialed 911 and expected to be shuttled to his residence to “change my underwear.” “I informed Linman the Sheriff’s Office is not a taxi service,” an affidavit states. The deputy called Linman a taxi and told him to wait. Linman claimed he’d called fourteen different taxis already and didn’t want to wait. The deputy left Linman… but again, Linman wasn’t finished. 911 call transcript: 911: 911. What’s your emergency? Linman: It’s Gary Linman again. 911: Sir. As I said before, it’s against the law to tie up emergency call services. Linman: Your deputy refused to give me a ride home. He’s fired! Linman hung up… but oh no, he’s still not finished. 911 call transcript: 911: 911. What’s your emergency? Linman: It’s Gary again. 911: Okay. Sir. We’re dispatching a deputy to your location. Linman: I want to speak to whoever runs Moron County! 911: You mean Martin County? Linman: I want to speak to the mayor of Moron County! 911 disconnects Linman. But he’s still not done. 911 call transcript: 911: Mr. Linman– Linman: I want a ride home now! 911: Sir! Linman: Now! I was in the Marines! 911: Sir, a deputy will be there in a minute to take you home. Okay? Linman: I can’t wait a minute! 911: The deputy is almost there, sir. Hold tight. Linman: This is taking forever! 911 keeps him on the line until police arrive. Linman soon got a ride to jail on misuse of 911 charges.",http://www.moron.com/florida-man-dials-911-for-ride/,,
29,Tries to Use Taco as ID After His Car Catches Fire at Taco Bell,taco.jpg,"Tacos are not recognized as legal forms of identification in the state of Florida [insert bad joke about immigration laws here]. Matthew Falkner found out the hard way after he passed out drunk in the drive-thru of a Jensen Beach Taco Bell and his car caught fire [insert bad joke about Taco Bell's fire sauce or volcano taco here]. The incident occurred in the early morning of October 1 in Jensen Beach, according to the blog Off the Beat. Falkner, 30, had apparently decided to make a run for a fourth meal after downing some beers, and he somehow made it all the way to the fast-food joint in his Chevy pickup, placed his order, and received his taco before falling asleep. The Taco Bell manager had to call police because Falkner was out cold at the pick-up window and holding up customers behind him. Clearly this was not a victimless crime, and our hearts go out to the hungry folks who had to wait so long for their late-night munchies. A deputy awoke Falkner and then asked for his ID. Falkner said no before reaching into his bag and presenting the officer with a taco. Another deputy clarified they were asking for an ID, not a taco. Falkner chuckled and began eating the taco. Then deputies noticed Falkner had fallen asleep with his foot on the accelerator while his truck was in park. The engine had caught fire, and fire extinguishers were used to put it out. Falkner's blood alcohol content was between .227 and .225, according to a breath test. That's three times the legal limit. He was hauled off to jail on DUI charges. No word on the fate of the taco.",https://www.miaminewtimes.com/news/drunk-florida-man-tries-to-use-taco-as-id-after-his-car-catches-fire-at-taco-bell-6535056,,
30,Hits Boyfriend with Plate for Listening to Too Much Alanis Morisette,allen-blair-casey.jpg,"If music by the food of love, one Florida couple is going to have to eat off the floor: Jacksonville resident Allen Blair Casey got so irritated that his boyfriend was playing Alanis Morissette nonstop, that he hit him upside the face with a plate.",https://knowyourmeme.com/photos/505467-florida-man,,
31,Randy Zipperer Allegedly Stabs Brother After Macaroni And Cheese Goes Missing,noupscale.jpg,"Looks like this guy wasn’t using his noodle. Randy Zipperer, 49, is accused of stabbing his younger brother following an argument about missing macaroni and cheese. A witness told deputies in Volusia County, Fla. that Randy and his brother, 47-year-old Edward Zipperer, started arguing over Randy’s missing macaroni and cheese, the Daytona Beach News-Journal reported. His younger brother helped him look, but during the mac-hunt, Edward knocked over a beer Randy had been drinking. The spill allegedly made Randy even angrier, and deputies say he began waving around a knife that wound up inserted in his brother’s stomach. When deputies arrived, Edward had a small puncture wound in his abdomen. Investigators noted a trail of blood between the kitchen and bedroom, according to Click Orlando. Randy allegedly admitted that “I poked him a little with the knife, but I didn’t mean to.” He has been charged with aggravated battery and obstructing an officer without violence. He has been arrested on numerous occasions over the past 10 years, and Dreamin’ Demon has compiled a helpful infographic of his mugshots over the span of his criminal career.",https://www.huffingtonpost.com/2013/06/13/randy-zipperer-stabs-brother-macaroni-and-cheese_n_3436240.html,,
